label,events_per_second_ratio,idle_ratio,brainrot_ratio,productive_ratio,keyboard_to_scroll_ratio,event_rate_variance,scroll_direction_changes
distracted,11.416666666666666,0.00072992700729927,0.9328467153284672,0.06715328467153285,0.0,1859.4444444444443,156
distracted,10.9,0.0022935779816513763,1.0,0.0,0.0,1576.0,177
distracted,11.066666666666666,0.002259036144578313,1.0,0.0,0.0,2173.277777777778,248
distracted,10.908333333333333,0.0015278838808250573,1.0,0.0,0.0,2036.5277777777776,264
distracted,10.5,0.002380952380952381,1.0,0.0,0.0,2588.5,181
distracted,9.991666666666667,0.004170141784820684,0.6488740617180984,0.34111759799833197,0.005163511176951721,1399.6944444444443,159
distracted,10.708333333333334,0.0023346303501945525,0.6723735408560312,0.31828793774319064,0.006810442668840615,2197.4444444444443,204
distracted,12.041666666666666,0.0,1.0,0.0,0.017103762799640893,2181.277777777778,184
distracted,11.875,0.0,1.0,0.0,0.03696498044226635,1968.7500000000002,103
distracted,11.991666666666667,0.0,0.9624739402362752,0.037526059763724806,0.010370370348262277,1972.1111111111113,172
distracted,11.808333333333334,0.0,0.9611856033874383,0.038108680310515175,0.0,1965.7777777777778,281
distracted,11.8,0.0,0.9992937853107344,0.0,0.0,2160.5,292
distracted,11.616666666666667,0.0,1.0,0.0,0.0,1827.8611111111113,269
distracted,11.508333333333333,0.0,1.0,0.0,0.0,1748.2777777777778,200
distracted,10.875,0.0015325670498084292,1.0,0.0,0.0,1973.0,154
distracted,10.916666666666666,0.0015267175572519084,1.0,0.0,0.0,1756.0277777777778,170
distracted,11.733333333333333,0.0,1.0,0.0,0.0,1844.777777777778,229
distracted,11.0,0.0007575757575757576,1.0,0.0,0.0,1785.75,195
distracted,10.683333333333334,0.0,0.6552262090483619,0.0,0.010218978083064628,456.2142857142857,185
distracted,10.25,0.0008130081300813008,0.17642276422764228,0.0,0.01192504256445008,2252.5,231
distracted,10.866666666666667,0.0007668711656441718,0.0,0.0,0.0,2893.611111111111,282
distracted,12.25,0.0,0.0,0.0,0.0,1947.75,286
distracted,10.866666666666667,0.0007668711656441718,0.0,0.0,0.0,3109.1111111111113,121
distracted,10.633333333333333,0.0007836990595611285,0.0,0.0,0.0,2350.944444444445,152
distracted,11.95,0.0,0.0,0.0,0.0,1818.5,304
distracted,12.225,0.0,0.0,0.0,0.0,1976.5,156
distracted,12.416666666666666,0.0,0.0,0.0,0.0,2062.527777777778,0
distracted,10.408333333333333,0.0008006405124099279,0.0,0.0,0.0,4036.4444444444443,0
distracted,10.408333333333333,0.0008006405124099279,0.0,0.0,0.0,4129.444444444444,0
distracted,12.333333333333334,0.0,0.0,0.0,0.0,2075.777777777778,0
distracted,12.091666666666667,0.0,0.0,0.0,0.0,2037.9444444444446,0
distracted,12.15,0.0,0.0,0.0,0.0,1856.75,0
distracted,12.383333333333333,0.0,0.0,0.0,0.0,2046.1111111111109,0
distracted,12.391666666666667,0.0,0.0,0.0,0.0,2012.9444444444446,0
distracted,12.433333333333334,0.0,0.0,0.0,0.0,2106.6944444444443,0
distracted,12.4,0.0,0.0,0.0,0.0,2110.0,0
distracted,12.191666666666666,0.0,0.0,0.0,0.0,1944.5277777777778,62
distracted,11.95,0.0,0.0,0.0,0.0,2052.0,98
distracted,11.925,0.0,0.0,0.0,0.0,1898.75,150
distracted,10.691666666666666,0.0,0.0,0.0,0.0,3370.2777777777774,156
distracted,10.8,0.0,0.0,0.0,0.0,2866.5,179
distracted,12.041666666666666,0.0,0.0,0.0,0.017886178819763367,2170.527777777778,184
distracted,11.675,0.0,0.0,0.0,0.042596348763331675,1721.0000000000002,141
distracted,11.783333333333333,0.0,0.0,0.0,0.012610340456707413,1951.1111111111113,196
distracted,12.125,0.0,0.0,0.0,0.0,1967.25,286
distracted,13.733333333333333,0.0006067961165048543,0.2196601941747573,0.0,0.007621951200364366,13164.611111111113,203
distracted,13.433333333333334,0.0006203473945409429,0.2847394540942928,0.011166253101736972,0.07831325225156047,13547.611111111111,55
distracted,11.925,0.0,0.06778476589797344,0.012578616352201259,0.03129445228338213,1887.25,208
distracted,11.75,0.0,0.0,0.0,0.03229813658939084,2142.5,222
distracted,11.233333333333333,0.0,0.0,0.0,0.0203045684816065,1963.6944444444446,179
distracted,11.091666666666667,0.0,0.019534184823441023,0.28399699474079637,0.07882534759672868,4425.611111111111,198
distracted,9.65,0.0017271157167530224,0.022452504317789293,0.7564766839378239,0.1643454033696045,3765.4999999999995,83
distracted,10.0,0.0008333333333333334,0.0425,0.9425,0.043396226316838725,2111.4285714285716,122
distracted,8.05,0.003105590062111801,0.052795031055900624,0.9285714285714286,0.11657559178030598,4560.75,143
distracted,8.058333333333334,0.002068252326783868,0.0,0.8645294725956567,0.08072487631291442,3420.809523809523,146
distracted,10.15,0.0016420361247947454,0.0,0.8924466338259441,0.0,3266.7499999999995,189
distracted,9.925,0.0016792611251049538,0.45759865659109994,0.5104953820319059,0.0,2999.9999999999995,126
distracted,11.725,0.0007107320540156361,0.906183368869936,0.09381663113006397,0.03151862457829985,1921.25,186
distracted,16.258333333333333,0.0,0.9748846745258841,0.025115325474115838,0.04580152660386924,35180.694444444445,200
distracted,42.56666666666667,0.00039154267815191856,0.5601018010963195,0.0,0.004693261808926188,180965.02777777778,758
distracted,44.141666666666666,0.00037757221068529355,0.30337927128563336,0.007362658108363225,0.006628003299457939,137303.52777777775,616
distracted,18.35,0.0,0.011807447774750226,0.017711171662125342,1.0526315484487543,23330.500000000007,16
distracted,10.575,0.0007880220646178094,0.0,0.0,1.6354166450485028,3185.0,18
distracted,17.633333333333333,0.0004725897920604915,0.0,0.0,0.3522012555180571,55366.61111111111,78
distracted,26.633333333333333,0.00031289111389236547,0.0,0.0,0.019245573470739914,198406.9523809524,308
distracted,13.908333333333333,0.0011983223487118035,0.0,0.0,0.005994005984011992,113238.02777777777,232
distracted,1.675,0.004975124378109453,0.0,0.0,4975124.378109452,0.5,0
distracted,7.691666666666666,0.0032502708559046588,0.0,0.0,0.21052630556232738,31057.77777777778,0
distracted,35.15,0.0002370791844476055,0.0,0.0,0.02422723466817838,66902.0,306
distracted,48.8,0.0,0.015710382513661202,0.0,0.018699910904048673,166510.25,558
distracted,25.725,0.0,0.03466148364107548,0.0,0.02836879425723052,136856.0,293
distracted,23.783333333333335,0.0,0.15487035739313246,0.0,0.027465667817244674,104389.86111111112,177
distracted,27.641666666666666,0.0,0.2776605366294845,0.0,0.044117646893282535,105284.27777777778,215
distracted,18.875,0.0004415011037527594,0.4750551876379691,0.0,0.04755784047851091,46459.25,195
distracted,14.866666666666667,0.0005605381165919282,0.32623318385650224,0.0257847533632287,0.023002421257825277,30291.694444444445,216
distracted,9.916666666666666,0.0016806722689075631,0.073109243697479,0.1403361344537815,0.0927835049649272,4088.6944444444443,155
distracted,8.85,0.002824858757062147,0.08192090395480225,0.11393596986817325,0.09339407722281433,7821.0,127
distracted,16.641666666666666,0.000500751126690035,0.47771657486229346,0.0,0.08754863779215052,83785.6111111111,184
distracted,41.125,0.0,0.5698074974670719,0.0,0.04243668705720393,234888.00000000003,406
distracted,42.325,0.00019688915140775743,0.3658200433156133,0.0,0.06071805685935216,126878.0,514
distracted,42.725,0.0003900916715428126,0.0,0.0,0.03058103971176286,133780.0,1038
distracted,46.525,0.0003582303421099767,0.0,0.0,0.04489689369599077,182123.50000000003,1128
distracted,42.166666666666664,0.0001976284584980237,0.0,0.0,0.07188160663716671,207451.19444444444,850
distracted,47.80833333333333,0.0,0.0,0.0,0.026847662095316735,171576.27777777778,940
distracted,52.208333333333336,0.0001596169193934557,0.0,0.0,0.013109756072520544,134306.6111111111,882
distracted,37.59166666666667,0.0,0.0,0.003990246065174019,0.002018163466647863,179814.44444444447,527
distracted,14.066666666666666,0.0,0.0,0.01066350710900474,0.007082152957571281,4844.277777777778,140
distracted,11.666666666666666,0.0,0.0,0.0,0.13333333308932463,2984.527777777778,159
distracted,9.266666666666667,0.0017985611510791368,0.0,0.0,1.1086956468136107,4365.027777777777,64
distracted,10.75,0.0031007751937984496,0.0,0.0,1.180645151464308,17743.249999999996,48
distracted,17.816666666666666,0.0009354536950420954,0.10523854069223573,0.0940130963517306,0.10684931444261964,41882.27777777778,100
distracted,38.983333333333334,0.0,0.2864471996579735,0.04296707994869602,0.016085790817471555,110690.44444444444,251
distracted,42.03333333333333,0.0,0.24762093576526567,0.0,0.010256410218510379,159962.77777777775,324
distracted,19.391666666666666,0.0,0.05758487322733133,0.0,0.011737089169821354,71913.52777777778,235
distracted,11.758333333333333,0.0,0.0,0.0,0.0,2293.194444444445,227
distracted,11.541666666666666,0.0007220216606498195,0.0,0.0,0.0379213482408412,2461.3611111111113,240
distracted,11.591666666666667,0.0014378145219266715,0.06470165348670022,0.0,0.07358490546725169,4535.527777777777,171
distracted,13.116666666666667,0.0006353240152477764,0.05717916137229987,0.0,0.05156950654446097,9561.611111111111,112
distracted,11.9,0.0,0.0,0.16526610644257703,0.16793893068748905,2574.7499999999995,92
distracted,10.65,0.000782472613458529,0.0,0.5406885758998435,0.3567708321459554,3105.5,98
distracted,11.791666666666666,0.0,0.334982332155477,0.3215547703180212,0.2152230963135415,2844.444444444445,98
distracted,10.1,0.0,0.7838283828382838,0.0,0.006465517224490932,2677.1428571428573,152
distracted,9.341666666666667,0.001784121320249777,0.9705619982158786,0.0,0.007712082251098658,3814.0277777777774,232
distracted,10.658333333333333,0.0007818608287724785,0.9374511336982018,0.0,0.009090909075808737,2730.111111111111,170
distracted,10.883333333333333,0.0007656967840735069,0.44946401225114857,0.05053598774885146,0.046653143892638936,2266.111111111111,106
distracted,11.333333333333334,0.0007352941176470588,0.0,0.47352941176470587,0.07014028036995835,2640.1111111111113,113
distracted,11.125,0.0,0.0,0.6876404494382022,0.12460567797105902,2939.0,142
distracted,19.641666666666666,0.0,0.3962664403903267,0.24649978786593127,0.10462555038920437,85576.61111111111,210
distracted,19.725,0.0004224757076468103,0.4883819180397127,0.18757921419518378,0.04265402831639563,89877.0,175
distracted,20.766666666666666,0.001203852327447833,0.12199036918138041,0.17375601926163725,0.013888888848829732,120331.61111111111,168
distracted,20.425,0.0012239902080783353,0.03345573235414117,0.31007751937984496,0.09892473092208115,110248.25000000001,220
distracted,8.641666666666667,0.0019286403085824494,0.010607521697203472,0.8563162970106075,0.27252747190634946,4995.476190476191,126
distracted,8.991666666666667,0.0009267840593141798,0.03151065801668211,0.4976830398517145,0.0907172993715528,13686.36111111111,134
distracted,12.583333333333334,0.0013245033112582781,0.18013245033112582,0.1185430463576159,0.038194444344316646,8708.266666666666,180
distracted,7.608333333333333,0.0032858707557502738,0.2727272727272727,0.0,0.06761565814329859,17930.277777777777,84
distracted,3.775,0.002207505518763797,0.5805739514348786,0.0,0.0,11367.0,72
distracted,5.833333333333333,0.0014285714285714286,0.5728571428571428,0.0,0.0,11848.0,91
distracted,10.225,0.0024449877750611247,0.5615321923390383,0.0,0.023305084685179365,9048.3,117
distracted,14.083333333333334,0.0029585798816568047,0.6124260355029586,0.0,0.020484171257694132,10069.944444444443,131
distracted,11.908333333333333,0.0013995801259622112,0.8222533240027992,0.0,0.0,5717.944444444445,160
distracted,11.441666666666666,0.0,1.0,0.0,0.0,2329.2777777777774,212
distracted,10.608333333333333,0.0015710919088766694,0.0,0.8853102906520032,0.15014164278876727,2512.027777777778,164
distracted,11.533333333333333,0.000722543352601156,0.0,0.6791907514450867,0.02318392576184458,1394.6944444444446,148
distracted,11.658333333333333,0.0007147962830593281,0.0,0.7869907076483202,0.012396694190987637,1649.7777777777778,155
distracted,11.125,0.0,0.006741573033707865,0.9812734082397003,0.04474002411157445,1761.25,168
distracted,10.85,0.0,0.37557603686635943,0.6121351766513057,0.03862212938383506,1759.0,222
distracted,10.8,0.0007716049382716049,0.8472222222222222,0.1527777777777778,0.0,1283.5,250
distracted,10.8,0.0007716049382716049,0.9606481481481481,0.0,0.0036319612533813293,2110.25,190
distracted,10.991666666666667,0.000758150113722517,0.9613343442001516,0.0,0.004901960773748878,1690.0277777777778,134
distracted,11.025,0.0007558578987150416,1.0,0.0,0.0,1243.75,161
distracted,10.641666666666667,0.0015661707126076742,1.0,0.0,0.0,1824.8611111111113,216
distracted,10.733333333333333,0.0015527950310559005,1.0,0.0,0.0030706243562385223,1694.361111111111,223
distracted,11.508333333333333,0.0,1.0,0.0,0.003351955302090447,1481.7777777777778,231
distracted,11.35,0.0,0.9889867841409692,0.011013215859030838,0.0060240963731855125,1559.75,201
distracted,11.516666666666667,0.0,0.9891461649782923,0.01085383502170767,0.009090909076632231,1529.5277777777778,243
distracted,10.958333333333334,0.0,0.9771863117870723,0.008365019011406844,0.007368421042432133,1489.3611111111113,252
distracted,10.833333333333334,0.0,0.9538461538461539,0.031538461538461536,0.007290400960537642,1341.5277777777778,238
distracted,11.125,0.0,0.9775280898876404,0.02247191011235955,0.003188097763808597,1329.25,246
distracted,10.958333333333334,0.0,1.0,0.0,0.0,1613.1111111111113,180
distracted,10.825,0.001539645881447267,1.0,0.0,0.008064516107911679,1308.0000000000002,162
distracted,11.15,0.0014947683109118087,1.0,0.0,0.006504065026500099,1490.5,177
distracted,11.683333333333334,0.0,1.0,0.0,0.0,1625.9444444444446,210
distracted,11.608333333333333,0.0,1.0,0.0,0.0,1572.1944444444443,313
distracted,11.775,0.0,1.0,0.0,0.0,1767.75,300
distracted,11.258333333333333,0.0014803849000740192,0.0,0.47520355292376015,0.19607842964116368,1935.1111111111113,30
distracted,11.091666666666667,0.0007513148009015778,0.0,0.3816679188580015,0.041208791058107416,1497.611111111111,72
distracted,9.95,0.0008375209380234506,0.0,0.6809045226130653,0.10040983581989889,3378.25,123
distracted,10.9,0.0007645259938837921,0.0,0.5726299694189603,0.0866013070044534,3554.5000000000005,158
distracted,12.191666666666666,0.0,0.0,0.14627477785372522,0.06675938790310294,2160.777777777778,189
distracted,11.575,0.0,0.46652267818574517,0.0,0.059163059044476926,1485.5,188
distracted,11.675,0.0,0.9635974304068522,0.0,0.006048387088232067,1583.5000000000002,233
distracted,13.85,0.0,0.7912154031287605,0.0,0.05541237101534102,3005.25,198
distracted,17.316666666666666,0.00048123195380173246,0.4422521655437921,0.017324350336862367,0.11858974319482453,15486.361111111111,129
distracted,15.1,0.0005518763796909492,0.5408388520971302,0.019867549668874173,0.03707052435156258,12825.25,248
